Zip,City,State,Region,District,Country
22848,"Pleasant Valley, VA, USA",VA,East,District #07,USA
22849,"Shenandoah, VA, USA",VA,East,District #07,USA
22850,"Singers Glen, VA, USA",VA,East,District #07,USA
22851,"Stanley, VA, USA",VA,East,District #07,USA
22853,"Timberville, VA, USA",VA,East,District #07,USA
22901,"Charlottesville, VA, USA",VA,East,District #07,USA
22902,"Charlottesville, VA, USA",VA,East,District #07,USA
22903,"Charlottesville, VA, USA",VA,East,District #07,USA
22904,"Charlottesville, VA, USA",VA,East,District #07,USA
22905,"Charlottesville, VA, USA",VA,East,District #07,USA
22906,"Charlottesville, VA, USA",VA,East,District #07,USA
67155,"Wilmore, KS, USA",KS,Central,District #21,USA
67156,"Winfield, KS, USA",KS,Central,District #21,USA
67159,"Zenda, KS, USA",KS,Central,District #21,USA
67201,"Wichita, KS, USA",KS,Central,District #21,USA
67202,"Wichita, KS, USA",KS,Central,District #21,USA
67203,"Wichita, KS, USA",KS,Central,District #21,USA
67204,"Wichita, KS, USA",KS,Central,District #21,USA
67205,"Wichita, KS, USA",KS,Central,District #21,USA
67206,"Wichita, KS, USA",KS,Central,District #21,USA
67207,"Wichita, KS, USA",KS,Central,District #21,USA
67208,"Wichita, KS, USA",KS,Central,District #21,USA
67209,"Wichita, KS, USA",KS,Central,District #21,USA
67210,"Wichita, KS, USA",KS,Central,District #21,USA
67211,"Wichita, KS, USA",KS,Central,District #21,USA
67212,"Wichita, KS, USA",KS,Central,District #21,USA
67213,"Wichita, KS, USA",KS,Central,District #21,USA
67214,"Wichita, KS, USA",KS,Central,District #21,USA
67215,"Wichita, KS, USA",KS,Central,District #21,USA
67216,"Wichita, KS, USA",KS,Central,District #21,USA
67217,"Wichita, KS, USA",KS,Central,District #21,USA
67218,"Wichita, KS, USA",KS,Central,District #21,USA
67219,"Wichita, KS, USA",KS,Central,District #21,USA
67220,"Wichita, KS, USA",KS,Central,District #21,USA
67221,"Mcconnell Afb, KS, USA",KS,Central,District #21,USA
67223,"Wichita, KS, USA",KS,Central,District #21,USA
67226,"Wichita, KS, USA",KS,Central,District #21,USA
67227,"Wichita, KS, USA",KS,Central,District #21,USA
67228,"Wichita, KS, USA",KS,Central,District #21,USA
67230,"Wichita, KS, USA",KS,Central,District #21,USA
67232,"Wichita, KS, USA",KS,Central,District #21,USA
67235,"Wichita, KS, USA",KS,Central,District #21,USA
67260,"Wichita, KS, USA",KS,Central,District #21,USA
67275,"Wichita, KS, USA",KS,Central,District #21,USA
67276,"Wichita, KS, USA",KS,Central,District #21,USA
67277,"Wichita, KS, USA",KS,Central,District #21,USA
67278,"Wichita, KS, USA",KS,Central,District #21,USA
67301,"Independence, KS, USA",KS,Central,District #21,USA
67330,"Altamont, KS, USA",KS,Central,District #21,USA
67332,"Bartlett, KS, USA",KS,Central,District #21,USA
67333,"Caney, KS, USA",KS,Central,District #21,USA
67334,"Chautauqua, KS, USA",KS,Central,District #21,USA
67335,"Cherryvale, KS, USA",KS,Central,District #21,USA
67336,"Chetopa, KS, USA",KS,Central,District #21,USA
67337,"Coffeyville, KS, USA",KS,Central,District #21,USA
67340,"Dearing, KS, USA",KS,Central,District #21,USA
67341,"Dennis, KS, USA",KS,Central,District #21,USA
67342,"Edna, KS, USA",KS,Central,District #21,USA
67344,"Elk City, KS, USA",KS,Central,District #21,USA
67345,"Elk Falls, KS, USA",KS,Central,District #21,USA
67346,"Grenola, KS, USA",KS,Central,District #21,USA
67347,"Havana, KS, USA",KS,Central,District #21,USA
67349,"Howard, KS, USA",KS,Central,District #21,USA
67351,"Liberty, KS, USA",KS,Central,District #21,USA
67352,"Longton, KS, USA",KS,Central,District #21,USA
67353,"Moline, KS, USA",KS,Central,District #21,USA
67354,"Mound Valley, KS, USA",KS,Central,District #21,USA
67355,"Niotaze, KS, USA",KS,Central,District #21,USA
67356,"Oswego, KS, USA",KS,Central,District #21,USA
67357,"Parsons, KS, USA",KS,Central,District #21,USA
67360,"Peru, KS, USA",KS,Central,District #21,USA
67361,"Sedan, KS, USA",KS,Central,District #21,USA
67363,"Sycamore, KS, USA",KS,Central,District #21,USA
67364,"Tyro, KS, USA",KS,Central,District #21,USA
67401,"Salina, KS, USA",KS,Central,District #21,USA
67402,"Salina, KS, USA",KS,Central,District #21,USA
67410,"Abilene, KS, USA",KS,Central,District #30,USA
67416,"Assaria, KS, USA",KS,Central,District #21,USA
67417,"Aurora, KS, USA",KS,Central,District #21,USA
67418,"Barnard, KS, USA",KS,Central,District #21,USA
67420,"Beloit, KS, USA",KS,Central,District #21,USA
67422,"Bennington, KS, USA",KS,Central,District #21,USA
67423,"Beverly, KS, USA",KS,Central,District #21,USA
67425,"Brookville, KS, USA",KS,Central,District #21,USA
67427,"Bushton, KS, USA",KS,Central,District #21,USA
67428,"Canton, KS, USA",KS,Central,District #21,USA
67430,"Cawker City, KS, USA",KS,Central,District #21,USA
67431,"Chapman, KS, USA",KS,Central,District #30,USA
67432,"Clay Center, KS, USA",KS,Central,District #30,USA
67436,"Delphos, KS, USA",KS,Central,District #21,USA
67437,"Downs, KS, USA",KS,Central,District #21,USA
67438,"Durham, KS, USA",KS,Central,District #21,USA
67439,"Ellsworth, KS, USA",KS,Central,District #21,USA
67441,"Enterprise, KS, USA",KS,Central,District #30,USA
67442,"Falun, KS, USA",KS,Central,District #21,USA
67443,"Galva, KS, USA",KS,Central,District #21,USA
67444,"Geneseo, KS, USA",KS,Central,District #21,USA
67445,"Glasco, KS, USA",KS,Central,District #21,USA
67446,"Glen Elder, KS, USA",KS,Central,District #21,USA
67447,"Green, KS, USA",KS,Central,District #30,USA
67448,"Gypsum, KS, USA",KS,Central,District #21,USA
67449,"Herington, KS, USA",KS,Central,District #30,USA
67450,"Holyrood, KS, USA",KS,Central,District #21,USA
67451,"Hope, KS, USA",KS,Central,District #30,USA
67452,"Hunter, KS, USA",KS,Central,District #21,USA
67454,"Kanopolis, KS, USA",KS,Central,District #21,USA
67455,"Lincoln, KS, USA",KS,Central,District #21,USA
67456,"Lindsborg, KS, USA",KS,Central,District #21,USA
67457,"Little River, KS, USA",KS,Central,District #21,USA
67458,"Longford, KS, USA",KS,Central,District #30,USA
67459,"Lorraine, KS, USA",KS,Central,District #21,USA
67460,"Mcpherson, KS, USA",KS,Central,District #21,USA
67464,"Marquette, KS, USA",KS,Central,District #21,USA
67466,"Miltonvale, KS, USA",KS,Central,District #21,USA
67467,"Minneapolis, KS, USA",KS,Central,District #21,USA
67468,"Morganville, KS, USA",KS,Central,District #30,USA
67470,"New Cambria, KS, USA",KS,Central,District #21,USA
67473,"Osborne, KS, USA",KS,Central,District #21,USA
67474,"Portis, KS, USA",KS,Central,District #21,USA
67475,"Ramona, KS, USA",KS,Central,District #30,USA
67476,"Roxbury, KS, USA",KS,Central,District #21,USA
67478,"Simpson, KS, USA",KS,Central,District #21,USA
67480,"Solomon, KS, USA",KS,Central,District #21,USA
67481,"Sylvan Grove, KS, USA",KS,Central,District #21,USA
67482,"Talmage, KS, USA",KS,Central,District #21,USA
67483,"Tampa, KS, USA",KS,Central,District #21,USA
67484,"Tescott, KS, USA",KS,Central,District #21,USA
67485,"Tipton, KS, USA",KS,Central,District #21,USA
67487,"Wakefield, KS, USA",KS,Central,District #30,USA
67490,"Wilson, KS, USA",KS,Central,District #21,USA
67491,"Windom, KS, USA",KS,Central,District #21,USA
67492,"Woodbine, KS, USA",KS,Central,District #30,USA
67501,"Hutchinson, KS, USA",KS,Central,District #21,USA
67502,"Hutchinson, KS, USA",KS,Central,District #21,USA
67504,"Hutchinson, KS, USA",KS,Central,District #21,USA
67505,"South Hutchinson, KS, USA",KS,Central,District #21,USA
67510,"Abbyville, KS, USA",KS,Central,District #21,USA
67511,"Albert, KS, USA",KS,Central,District #21,USA
67512,"Alden, KS, USA",KS,Central,District #21,USA
67513,"Alexander, KS, USA",KS,Central,District #21,USA
67514,"Arlington, KS, USA",KS,Central,District #21,USA
67515,"Arnold, KS, USA",KS,Central,District #21,USA
67516,"Bazine, KS, USA",KS,Central,District #21,USA
67518,"Beeler, KS, USA",KS,Central,District #21,USA
67519,"Belpre, KS, USA",KS,Central,District #21,USA
67520,"Bison, KS, USA",KS,Central,District #21,USA
67521,"Brownell, KS, USA",KS,Central,District #21,USA
67522,"Buhler, KS, USA",KS,Central,District #21,USA
67523,"Burdett, KS, USA",KS,Central,District #21,USA
67524,"Chase, KS, USA",KS,Central,District #21,USA
67525,"Claflin, KS, USA",KS,Central,District #21,USA
67526,"Ellinwood, KS, USA",KS,Central,District #21,USA
67529,"Garfield, KS, USA",KS,Central,District #21,USA
67530,"Great Bend, KS, USA",KS,Central,District #21,USA
67543,"Haven, KS, USA",KS,Central,District #21,USA
67544,"Hoisington, KS, USA",KS,Central,District #21,USA
67545,"Hudson, KS, USA",KS,Central,District #21,USA
67546,"Inman, KS, USA",KS,Central,District #21,USA
67547,"Kinsley, KS, USA",KS,Central,District #21,USA
67548,"La Crosse, KS, USA",KS,Central,District #21,USA
67550,"Larned, KS, USA",KS,Central,District #21,USA
67552,"Lewis, KS, USA",KS,Central,District #21,USA
67553,"Liebenthal, KS, USA",KS,Central,District #21,USA
67554,"Lyons, KS, USA",KS,Central,District #21,USA
67556,"Mc Cracken, KS, USA",KS,Central,District #21,USA
67557,"Macksville, KS, USA",KS,Central,District #21,USA
67559,"Nekoma, KS, USA",KS,Central,District #21,USA
67560,"Ness City, KS, USA",KS,Central,District #21,USA
67561,"Nickerson, KS, USA",KS,Central,District #21,USA
67563,"Offerle, KS, USA",KS,Central,District #21,USA
67564,"Olmitz, KS, USA",KS,Central,District #21,USA
67565,"Otis, KS, USA",KS,Central,District #21,USA
67566,"Partridge, KS, USA",KS,Central,District #21,USA
67567,"Pawnee Rock, KS, USA",KS,Central,District #21,USA
67568,"Plevna, KS, USA",KS,Central,District #21,USA
67570,"Pretty Prairie, KS, USA",KS,Central,District #21,USA
67572,"Ransom, KS, USA",KS,Central,District #21,USA
67573,"Raymond, KS, USA",KS,Central,District #21,USA
67574,"Rozel, KS, USA",KS,Central,District #21,USA
67575,"Rush Center, KS, USA",KS,Central,District #21,USA
67576,"Saint John, KS, USA",KS,Central,District #21,USA
67578,"Stafford, KS, USA",KS,Central,District #21,USA
67579,"Sterling, KS, USA",KS,Central,District #21,USA
67581,"Sylvia, KS, USA",KS,Central,District #21,USA
67583,"Turon, KS, USA",KS,Central,District #21,USA
67584,"Utica, KS, USA",KS,Central,District #21,USA
67585,"Yoder, KS, USA",KS,Central,District #21,USA
67601,"Hays, KS, USA",KS,Central,District #21,USA
67621,"Agra, KS, USA",KS,Central,District #21,USA
67622,"Almena, KS, USA",KS,Central,District #21,USA
67623,"Alton, KS, USA",KS,Central,District #21,USA
67625,"Bogue, KS, USA",KS,Central,District #21,USA
67626,"Bunker Hill, KS, USA",KS,Central,District #21,USA
67627,"Catharine, KS, USA",KS,Central,District #21,USA
67628,"Cedar, KS, USA",KS,Central,District #21,USA
67629,"Clayton, KS, USA",KS,Central,District #21,USA
67631,"Collyer, KS, USA",KS,Central,District #21,USA
67632,"Damar, KS, USA",KS,Central,District #21,USA
67634,"Dorrance, KS, USA",KS,Central,District #21,USA
67635,"Dresden, KS, USA",KS,Central,District #21,USA
67637,"Ellis, KS, USA",KS,Central,District #21,USA
67638,"Gaylord, KS, USA",KS,Central,District #21,USA
67639,"Glade, KS, USA",KS,Central,District #21,USA
67640,"Gorham, KS, USA",KS,Central,District #21,USA
67642,"Hill City, KS, USA",KS,Central,District #21,USA
67643,"Jennings, KS, USA",KS,Central,District #21,USA
67644,"Kirwin, KS, USA",KS,Central,District #21,USA
67645,"Lenora, KS, USA",KS,Central,District #21,USA
67646,"Logan, KS, USA",KS,Central,District #21,USA
67647,"Long Island, KS, USA",KS,Central,District #21,USA
67648,"Lucas, KS, USA",KS,Central,District #21,USA
67649,"Luray, KS, USA",KS,Central,District #21,USA
67650,"Morland, KS, USA",KS,Central,District #21,USA
67651,"Natoma, KS, USA",KS,Central,District #21,USA
67653,"Norcatur, KS, USA",KS,Central,District #21,USA
67654,"Norton, KS, USA",KS,Central,District #21,USA
67656,"Ogallah, KS, USA",KS,Central,District #21,USA
67657,"Palco, KS, USA",KS,Central,District #21,USA
67658,"Paradise, KS, USA",KS,Central,District #21,USA
67659,"Penokee, KS, USA",KS,Central,District #21,USA
67660,"Pfeifer, KS, USA",KS,Central,District #21,USA
67661,"Phillipsburg, KS, USA",KS,Central,District #21,USA
67663,"Plainville, KS, USA",KS,Central,District #21,USA
67664,"Prairie View, KS, USA",KS,Central,District #21,USA
67665,"Russell, KS, USA",KS,Central,District #21,USA
67667,"Schoenchen, KS, USA",KS,Central,District #21,USA
67669,"Stockton, KS, USA",KS,Central,District #21,USA
67671,"Victoria, KS, USA",KS,Central,District #21,USA
67672,"Wakeeney, KS, USA",KS,Central,District #21,USA
67673,"Waldo, KS, USA",KS,Central,District #21,USA
67674,"Walker, KS, USA",KS,Central,District #21,USA
67675,"Woodston, KS, USA",KS,Central,District #21,USA
67701,"Colby, KS, USA",KS,Central,District #21,USA
67730,"Atwood, KS, USA",KS,Central,District #30,USA
67731,"Bird City, KS, USA",KS,Central,District #30,USA
67732,"Brewster, KS, USA",KS,Central,District #21,USA
67733,"Edson, KS, USA",KS,Central,District #21,USA
67734,"Gem, KS, USA",KS,Central,District #21,USA
67735,"Goodland, KS, USA",KS,Central,District #21,USA
67736,"Gove, KS, USA",KS,Central,District #21,USA
67737,"Grainfield, KS, USA",KS,Central,District #21,USA
67738,"Grinnell, KS, USA",KS,Central,District #21,USA
67739,"Herndon, KS, USA",KS,Central,District #30,USA
67740,"Hoxie, KS, USA",KS,Central,District #21,USA
67741,"Kanorado, KS, USA",KS,Central,District #21,USA
67743,"Levant, KS, USA",KS,Central,District #21,USA
67744,"Ludell, KS, USA",KS,Central,District #30,USA
67745,"Mc Donald, KS, USA",KS,Central,District #30,USA
67747,"Monument, KS, USA",KS,Central,District #21,USA
67748,"Oakley, KS, USA",KS,Central,District #21,USA
67749,"Oberlin, KS, USA",KS,Central,District #30,USA
67751,"Park, KS, USA",KS,Central,District #21,USA
67752,"Quinter, KS, USA",KS,Central,District #21,USA
67753,"Rexford, KS, USA",KS,Central,District #21,USA
67756,"Saint Francis, KS, USA",KS,Central,District #30,USA
67757,"Selden, KS, USA",KS,Central,District #21,USA
67758,"Sharon Springs, KS, USA",KS,Central,District #21,USA
67761,"Wallace, KS, USA",KS,Central,District #21,USA
67762,"Weskan, KS, USA",KS,Central,District #20,USA
67764,"Winona, KS, USA",KS,Central,District #21,USA
67801,"Dodge City, KS, USA",KS,Central,District #21,USA
67831,"Ashland, KS, USA",KS,Central,District #21,USA
67834,"Bucklin, KS, USA",KS,Central,District #21,USA
67835,"Cimarron, KS, USA",KS,Central,District #21,USA
67836,"Coolidge, KS, USA",KS,Central,District #21,USA
67837,"Copeland, KS, USA",KS,Central,District #21,USA
67838,"Deerfield, KS, USA",KS,Central,District #21,USA
67839,"Dighton, KS, USA",KS,Central,District #21,USA
67840,"Englewood, KS, USA",KS,Central,District #21,USA
67841,"Ensign, KS, USA",KS,Central,District #21,USA
67842,"Ford, KS, USA",KS,Central,District #21,USA
67843,"Fort Dodge, KS, USA",KS,Central,District #21,USA
67844,"Fowler, KS, USA",KS,Central,District #21,USA
67846,"Garden City, KS, USA",KS,Central,District #21,USA
67849,"Hanston, KS, USA",KS,Central,District #21,USA
67850,"Healy, KS, USA",KS,Central,District #21,USA
67851,"Holcomb, KS, USA",KS,Central,District #21,USA
67853,"Ingalls, KS, USA",KS,Central,District #21,USA
67854,"Jetmore, KS, USA",KS,Central,District #21,USA
67855,"Johnson, KS, USA",KS,Central,District #21,USA
67857,"Kendall, KS, USA",KS,Central,District #21,USA
67859,"Kismet, KS, USA",KS,Central,District #21,USA
67860,"Lakin, KS, USA",KS,Central,District #21,USA
67861,"Leoti, KS, USA",KS,Central,District #21,USA
67862,"Manter, KS, USA",KS,Central,District #21,USA
67863,"Marienthal, KS, USA",KS,Central,District #21,USA
67864,"Meade, KS, USA",KS,Central,District #21,USA
67865,"Minneola, KS, USA",KS,Central,District #21,USA
67867,"Montezuma, KS, USA",KS,Central,District #21,USA
67868,"Pierceville, KS, USA",KS,Central,District #21,USA
67869,"Plains, KS, USA",KS,Central,District #21,USA
67870,"Satanta, KS, USA",KS,Central,District #21,USA
67871,"Scott City, KS, USA",KS,Central,District #21,USA
67876,"Spearville, KS, USA",KS,Central,District #21,USA
67877,"Sublette, KS, USA",KS,Central,District #21,USA
67878,"Syracuse, KS, USA",KS,Central,District #21,USA
67879,"Tribune, KS, USA",KS,Central,District #21,USA
67880,"Ulysses, KS, USA",KS,Central,District #21,USA
67882,"Wright, KS, USA",KS,Central,District #21,USA
67901,"Liberal, KS, USA",KS,Central,District #21,USA
67905,"Liberal, KS, USA",KS,Central,District #21,USA
67950,"Elkhart, KS, USA",KS,Central,District #21,USA
67951,"Hugoton, KS, USA",KS,Central,District #21,USA
67952,"Moscow, KS, USA",KS,Central,District #21,USA
67953,"Richfield, KS, USA",KS,Central,District #21,USA
67954,"Rolla, KS, USA",KS,Central,District #21,USA
68001,"Abie, NE, USA",NE,Central,District #30,USA
68002,"Arlington, NE, USA",NE,Central,District #30,USA
68003,"Ashland, NE, USA",NE,Central,District #30,USA
68004,"Bancroft, NE, USA",NE,Central,District #32,USA
68005,"Bellevue, NE, USA",NE,Central,District #30,USA
68007,"Bennington, NE, USA",NE,Central,District #30,USA
68008,"Blair, NE, USA",NE,Central,District #30,USA
68009,"Blair, NE, USA",NE,Central,District #30,USA
68010,"Boys Town, NE, USA",NE,Central,District #30,USA
68014,"Bruno, NE, USA",NE,Central,District #30,USA
68015,"Cedar Bluffs, NE, USA",NE,Central,District #30,USA
68016,"Cedar Creek, NE, USA",NE,Central,District #30,USA
68017,"Ceresco, NE, USA",NE,Central,District #30,USA
68018,"Colon, NE, USA",NE,Central,District #30,USA
68019,"Craig, NE, USA",NE,Central,District #30,USA
68020,"Decatur, NE, USA",NE,Central,District #32,USA
68022,"Elkhorn, NE, USA",NE,Central,District #30,USA
68023,"Fort Calhoun, NE, USA",NE,Central,District #30,USA
68025,"Fremont, NE, USA",NE,Central,District #30,USA
68026,"Fremont, NE, USA",NE,Central,District #30,USA
68028,"Gretna, NE, USA",NE,Central,District #30,USA
68029,"Herman, NE, USA",NE,Central,District #30,USA
68030,"Homer, NE, USA",NE,Central,District #32,USA
68031,"Hooper, NE, USA",NE,Central,District #30,USA
68033,"Ithaca, NE, USA",NE,Central,District #30,USA
68034,"Kennard, NE, USA",NE,Central,District #30,USA
68036,"Linwood, NE, USA",NE,Central,District #30,USA
68037,"Louisville, NE, USA",NE,Central,District #30,USA
68038,"Lyons, NE, USA",NE,Central,District #32,USA
68039,"Macy, NE, USA",NE,Central,District #32,USA
68040,"Malmo, NE, USA",NE,Central,District #30,USA
68041,"Mead, NE, USA",NE,Central,District #30,USA
68042,"Memphis, NE, USA",NE,Central,District #30,USA
68044,"Nickerson, NE, USA",NE,Central,District #30,USA
68045,"Oakland, NE, USA",NE,Central,District #32,USA
68046,"Papillion, NE, USA",NE,Central,District #30,USA
68047,"Pender, NE, USA",NE,Central,District #32,USA
68048,"Plattsmouth, NE, USA",NE,Central,District #30,USA
68050,"Prague, NE, USA",NE,Central,District #30,USA
68055,"Rosalie, NE, USA",NE,Central,District #32,USA
68056,"St Columbans, NE, USA",NE,Central,District #30,USA
68057,"Scribner, NE, USA",NE,Central,District #30,USA
68058,"South Bend, NE, USA",NE,Central,District #30,USA
68059,"Springfield, NE, USA",NE,Central,District #30,USA
68061,"Tekamah, NE, USA",NE,Central,District #30,USA
68062,"Thurston, NE, USA",NE,Central,District #32,USA
68063,"Uehling, NE, USA",NE,Central,District #30,USA
68064,"Valley, NE, USA",NE,Central,District #30,USA
68065,"Valparaiso, NE, USA",NE,Central,District #30,USA
68066,"Wahoo, NE, USA",NE,Central,District #30,USA
68067,"Walthill, NE, USA",NE,Central,District #32,USA
68068,"Washington, NE, USA",NE,Central,District #30,USA
68069,"Waterloo, NE, USA",NE,Central,District #30,USA
68070,"Weston, NE, USA",NE,Central,District #30,USA
68071,"Winnebago, NE, USA",NE,Central,District #32,USA
68072,"Winslow, NE, USA",NE,Central,District #30,USA
68073,"Yutan, NE, USA",NE,Central,District #30,USA
68101,"Omaha, NE, USA",NE,Central,District #30,USA
68102,"Omaha, NE, USA",NE,Central,District #30,USA
68103,"Omaha, NE, USA",NE,Central,District #30,USA
68104,"Omaha, NE, USA",NE,Central,District #30,USA
68105,"Omaha, NE, USA",NE,Central,District #30,USA
68106,"Omaha, NE, USA",NE,Central,District #30,USA
68107,"Omaha, NE, USA",NE,Central,District #30,USA
68108,"Omaha, NE, USA",NE,Central,District #30,USA
68109,"Omaha, NE, USA",NE,Central,District #30,USA
68110,"Omaha, NE, USA",NE,Central,District #30,USA
68111,"Omaha, NE, USA",NE,Central,District #30,USA
68112,"Omaha, NE, USA",NE,Central,District #30,USA
68113,"Offutt Afb, NE, USA",NE,Central,District #30,USA
68114,"Omaha, NE, USA",NE,Central,District #30,USA
68116,"Omaha, NE, USA",NE,Central,District #30,USA
68117,"Omaha, NE, USA",NE,Central,District #30,USA
68118,"Omaha, NE, USA",NE,Central,District #30,USA
68119,"Omaha, NE, USA",NE,Central,District #30,USA
68120,"Omaha, NE, USA",NE,Central,District #30,USA
68122,"Omaha, NE, USA",NE,Central,District #30,USA
68123,"Bellevue, NE, USA",NE,Central,District #30,USA
68124,"Omaha, NE, USA",NE,Central,District #30,USA
68127,"Omaha, NE, USA",NE,Central,District #30,USA
68128,"La Vista, NE, USA",NE,Central,District #30,USA
68130,"Omaha, NE, USA",NE,Central,District #30,USA
68131,"Omaha, NE, USA",NE,Central,District #30,USA
68132,"Omaha, NE, USA",NE,Central,District #30,USA
68133,"Papillion, NE, USA",NE,Central,District #30,USA
68134,"Omaha, NE, USA",NE,Central,District #30,USA
68135,"Omaha, NE, USA",NE,Central,District #30,USA
68136,"Omaha, NE, USA",NE,Central,District #30,USA
68137,"Omaha, NE, USA",NE,Central,District #30,USA
68138,"Omaha, NE, USA",NE,Central,District #30,USA
68139,"Omaha, NE, USA",NE,Central,District #30,USA
68142,"Omaha, NE, USA",NE,Central,District #30,USA
68144,"Omaha, NE, USA",NE,Central,District #30,USA
68145,"Omaha, NE, USA",NE,Central,District #30,USA
68147,"Bellevue, NE, USA",NE,Central,District #30,USA
68152,"Omaha, NE, USA",NE,Central,District #30,USA
68154,"Omaha, NE, USA",NE,Central,District #30,USA
68155,"Omaha, NE, USA",NE,Central,District #30,USA
68157,"Omaha, NE, USA",NE,Central,District #30,USA
68164,"Omaha, NE, USA",NE,Central,District #30,USA
68172,"Omaha, NE, USA",NE,Central,District #30,USA
68175,"Omaha, NE, USA",NE,Central,District #30,USA
68176,"Omaha, NE, USA",NE,Central,District #30,USA
68178,"Omaha, NE, USA",NE,Central,District #30,USA
68179,"Omaha, NE, USA",NE,Central,District #30,USA
68180,"Omaha, NE, USA",NE,Central,District #30,USA
68182,"Omaha, NE, USA",NE,Central,District #30,USA
68183,"Omaha, NE, USA",NE,Central,District #30,USA
68197,"Omaha, NE, USA",NE,Central,District #30,USA
68198,"Omaha, NE, USA",NE,Central,District #30,USA
68301,"Adams, NE, USA",NE,Central,District #30,USA
68303,"Alexandria, NE, USA",NE,Central,District #30,USA
68304,"Alvo, NE, USA",NE,Central,District #30,USA
68305,"Auburn, NE, USA",NE,Central,District #30,USA
68307,"Avoca, NE, USA",NE,Central,District #30,USA
68309,"Barneston, NE, USA",NE,Central,District #30,USA
68310,"Beatrice, NE, USA",NE,Central,District #30,USA
68313,"Beaver Crossing, NE, USA",NE,Central,District #30,USA
68314,"Bee, NE, USA",NE,Central,District #30,USA
